epoch,loss,train-acc,test-acc
0,22099.649996191263,0.5086,0.504
1,15068.596566438675,0.6273,0.6023
2,12181.061707913876,0.68784,0.6714
3,10429.09828054905,0.74202,0.7221
4,9218.040135622025,0.76882,0.7361
5,8283.861220389605,0.78646,0.7783
6,7614.02794983983,0.80926,0.7794
7,7007.2934257388115,0.82772,0.8022
8,6448.719023197889,0.83906,0.8038
9,6022.8616987764835,0.8534,0.8285
10,5692.676624715328,0.86234,0.8214
11,5313.062934547663,0.8691,0.8339
12,5019.212056994438,0.87144,0.8396
13,4729.872657835484,0.87592,0.8328
14,4507.79840940237,0.8846,0.8444
15,4258.5310372412205,0.89576,0.85
16,4051.954077631235,0.90108,0.8446
17,3894.662796795368,0.89284,0.845
18,3717.730775475502,0.9124,0.8622
19,3549.868752270937,0.90918,0.8559
20,3386.9121038615704,0.92056,0.8665
21,3238.0432906746864,0.91546,0.8523
22,3096.7266258001328,0.92736,0.8704
23,2957.184135556221,0.92862,0.864
24,2833.24567681551,0.92712,0.8589
25,2777.1525776982307,0.93312,0.8683
26,2627.3239754736423,0.93592,0.8672
27,2518.286813467741,0.93842,0.8718
28,2442.979546993971,0.93852,0.8641
29,2349.658576697111,0.9419,0.8691
30,2267.9714707136154,0.94758,0.8799
31,2133.253549516201,0.9475,0.8746
32,2029.6345537900925,0.94902,0.8764
33,2028.917516618967,0.94854,0.8763
34,1998.0979831814766,0.95374,0.8746
35,1912.7066868245602,0.95244,0.8792
36,1837.6207659244537,0.95998,0.8866
37,1742.800235182047,0.95906,0.8753
38,1657.468400835991,0.96002,0.8789
39,1633.7950133681297,0.95928,0.8824
40,1606.0530918836594,0.96046,0.8828
41,1503.5317651629448,0.95846,0.8831
42,1453.8599275648594,0.96042,0.888
43,1463.4611076414585,0.96712,0.8797
44,1402.0715844929218,0.96418,0.8811
45,1359.6118159294128,0.96682,0.8837
46,1304.362096875906,0.96904,0.8799
47,1259.141353726387,0.97052,0.8833
48,1254.0660737752914,0.9637,0.8769
49,1176.801202148199,0.97336,0.8885
50,1173.4265555739403,0.97254,0.8849
51,1111.4104166030884,0.96984,0.8913
52,1076.456122994423,0.97008,0.8827
53,1060.594038695097,0.97438,0.8896
54,1070.2925212085247,0.97256,0.8829
55,1021.063824057579,0.97472,0.8879
56,983.844081133604,0.9765,0.8851
57,954.0890581309795,0.97104,0.8826
58,871.1543192863464,0.97804,0.8886
59,884.2572886347771,0.98068,0.8901
